path	size_bytes	compressed_bytes
assets/MathJax/extensions/MathMenu.js	37714	11488
assets/MathJax/extensions/MathZoom.js	8662	3092
assets/MathJax/extensions/Safe.js	4980	1920
assets/MathJax/extensions/TeX/AMScd.js	3168	1493
assets/MathJax/extensions/TeX/AMSmath.js	13681	4862
assets/MathJax/extensions/TeX/AMSsymbols.js	6614	2456
assets/MathJax/extensions/TeX/HTML.js	1745	842
assets/MathJax/extensions/TeX/action.js	1407	785
assets/MathJax/extensions/TeX/autobold.js	1290	747
assets/MathJax/extensions/TeX/autoload-all.js	2181	1082
assets/MathJax/extensions/TeX/bbox.js	1938	1056
assets/MathJax/extensions/TeX/begingroup.js	4029	1601
assets/MathJax/extensions/TeX/boldsymbol.js	1740	848
assets/MathJax/extensions/TeX/cancel.js	1989	986
assets/MathJax/extensions/TeX/color.js	5336	2296
assets/MathJax/extensions/TeX/enclose.js	1607	889
assets/MathJax/extensions/TeX/extpfeil.js	2071	986
assets/MathJax/extensions/TeX/mathchoice.js	2510	1093
assets/MathJax/extensions/TeX/mediawiki-texvc.js	3559	1233
assets/MathJax/extensions/TeX/mhchem.js	8248	2784
assets/MathJax/extensions/TeX/newcommand.js	5059	2036
assets/MathJax/extensions/TeX/noErrors.js	6135	2104
assets/MathJax/extensions/TeX/noUndefined.js	1366	726
assets/MathJax/extensions/TeX/unicode.js	2902	1296
assets/MathJax/extensions/TeX/verb.js	1442	826
assets/MathJax/extensions/asciimath2jax.js	5407	2140
assets/MathJax/extensions/fast-preview.js	3155	1425
assets/MathJax/extensions/jsMath2jax.js	2336	1087
assets/MathJax/extensions/mml2jax.js	5539	2135
assets/MathJax/extensions/tex2jax.js	7003	2604
assets/MathJax/extensions/toMathML.js	5880	2328
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_AMS-Regular.otf	58528	40753
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Caligraphic-Bold.otf	12348	9743
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Caligraphic-Regular.otf	12024	9458
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Fraktur-Bold.otf	26900	22263
assets/MathJax/fonts/HTML-CSS/TeX/otf/MathJax_Fraktur-Regular.otf	25876	21420
